ID,MARCA,NOMBRE,ESTILO,GRADUACIÓN,NACIONALIDAD,NOTA,COMENTARIOS,IMAGEN_LOCAL,IMAGEN
1,86,Intense Blonde Ale,Blonde Ale,8.6,Holanda,,Lata,86 Intense Blonde.png,https://borja-unibeerse.netlify.app/BeerImages/86%20Intense%20Blonde.png
2,1906,Black Coupage,Lager,7.2,España,,,1906 Black Coupage.png,https://borja-unibeerse.netlify.app/BeerImages/1906%20Black%20Coupage.png
3,1906,Reserva Especial,Lager,6.5,España,,,1906 Reserva Especial.png,https://borja-unibeerse.netlify.app/BeerImages/1906%20Reserva%20Especial.png
4,1906,Reserva Especial,Lager,6.5,España,,Antigua Botella,1906 Reserve Especial (antigua).png,https://borja-unibeerse.netlify.app/BeerImages/1906%20Reserva%20Especial%20(antigua).png
5,1906,Red Vintage,Tostada,8.0,España,,,1906 Red Vintage.png,https://borja-unibeerse.netlify.app/BeerImages/1906%20Red%20Vintage.png
6,1906,Reserva Especial,Lager,6.5,España,,Botellin Antiguo,1906 Reserva Especial (antigua 2).png,https://borja-unibeerse.netlify.app/BeerImages/1906%20Reserva%20Especial%20(antigua%202).png
7,1906,Galician Irish Red Ale,Red Ale,5.0,España,,,1906 Galician Irish Red Ale.png,https://borja-unibeerse.netlify.app/BeerImages/1906%20Galician%20Irish%20Red%20Ale.png
8,1927,1927,Munich Dunkel,6,Portugal,,Viendo a Blink,1927 1927.png,https://borja-unibeerse.netlify.app/BeerImages/1927%201927.png
9,3 Monos,Dirty Harry,IPA,6.5,España,,,3 Monos Dirty Harry.png,https://borja-unibeerse.netlify.app/BeerImages/3%20Monos%20Dirty%20Harry.png
10,A Adega,A Adega,Lager,5.0,España,,Artesanal de Lugo,,
11,A Loumiña,A Loumiña,British Brown Ale,5.5,España,,Artesanal de Lugo,A Loumiña A Loumiña.png,https://borja-unibeerse.netlify.app/BeerImages/A%20Loumi%C3%B1a%20A%20Loumi%C3%B1a.png
12,A.K. Damm,La Méthode d'Alsace,Pilsen,4.8,España,,,A.K. Damm La Méthode.png,https://borja-unibeerse.netlify.app/BeerImages/A.K.%20Damm%20La%20M%C3%A9thode.png
13,Abadia Tostada,Abadia Belga,Tostada,6.0,Bélgica,,,Abadia Tostada Abadia Belga.png,https://borja-unibeerse.netlify.app/BeerImages/Abadia%20Tostada%20Abadia%20Belga.png
14,Abbaye Des Rocs,1979,Dark Ale,9.0,Bélgica,,,Abbaye Des Rocs 1979.png,https://borja-unibeerse.netlify.app/BeerImages/Abbaye%20Des%20Rocs%201979.png
15,Absolut Vodka,Vodka,Vodka,4.0,Suecia,,Botella LTGBIQ+,Absolut Vodka Edicion LGTBIQ+.png,https://borja-unibeerse.netlify.app/BeerImages/Absolut%20Vodka%20Edicion%20LGTBIQ+.png
16,Affligem,Dubbel,Dubbel - Trapenses,6.7,Bélgica,,,Affligem Dubbel.png,https://borja-unibeerse.netlify.app/BeerImages/Affligem%20Dubbel.png
17,Aldersbacher,Extra eingebraut,Festbier,5.8,Alemania,,,Aldersbacher Extra eingebraut.png,https://borja-unibeerse.netlify.app/BeerImages/Aldersbacher%20Extra%20eingebraut.png
18,Alhambra,Barrica de Ron Granadino,Lager - Ron,6.0,España,,,Alhambra Barrica de Ron Granadino.png,https://borja-unibeerse.netlify.app/BeerImages/Alhambra%20Barrica%20de%20Ron%20Granadino.png
19,Alhambra,1925,Lager,6.4,España,,Granada,Alhambra 1925.png,https://borja-unibeerse.netlify.app/BeerImages/Alhambra%201925.png
20,Alhambra,Reserva Especial,Pilsen,7.2,España,,Granada,Alhambra Especial (Roja).png,https://borja-unibeerse.netlify.app/BeerImages/Alhambra%20Especial%20(Roja).png
21,Alhambra ,Especial,Lager,5.4,España,,,Alhambra Reserva Especial.png,https://borja-unibeerse.netlify.app/BeerImages/Alhambra%20Reserva%20Especial.png
22,Amager Bryghus,Dario The Dark Don,Double Imperial Stout,11.0,Dinamarca,0,,Amager Bryghus Dario The Dark Don.png,https://borja-unibeerse.netlify.app/BeerImages/Amager%20Bryghus%20Dario%20The%20Dark%20Don.png
23,Ambar,1900,Pale Ale,4.8,España,,,Ambar 1900.png,https://borja-unibeerse.netlify.app/BeerImages/Ambar%201900.png
24,Ambar,Export,Lager,7.0,España,,,Ambar Export.png,https://borja-unibeerse.netlify.app/BeerImages/Ambar%20Export.png
25,Ambar,Ambiciosas 10,Lager,10.0,España,,,Ambar 10.png,https://borja-unibeerse.netlify.app/BeerImages/Ambar%2010.png
26,Anchor & Brewing,Fog Breaker IPA,IPA,6.8,Estados Unidos,,,Anchor & Brewery Fog Breaker.png,https://borja-unibeerse.netlify.app/BeerImages/Anchor%20&%20Brewery%20Fog%20Breaker.png
27,Asahi,Super Dry,Lager,5.2,Japón,,,Asahi Super Dry.png,https://borja-unibeerse.netlify.app/BeerImages/Asahi%20Super%20Dry.png
28,Asturias Brewing Company,Hop Ganster,American Pale Ale,5.5,España,,Asturias. Olor Cítrico,ABC Hop Ganster.png,https://borja-unibeerse.netlify.app/BeerImages/ABC%20Hop%20Ganster.png
29,Asturias Brewing Company,Guadaña,IPA,6.5,España,,,ABC Guadaña.png,https://borja-unibeerse.netlify.app/BeerImages/ABC%20Guada%C3%B1a.png
